,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,3.398308241991658,-1.8625380261465803,2.766025912693234,0.5053987464600107,0.3599443037593335,0.38704781858393184,-266.32050110981083,1,1
0,2.4411999781590246,10.174687699256282,5.017759608803569,0.9098260995738725,0.3518520325028023,0.3586400967276177,-143.41981597920864,2,1
0,1.3454412498810369,4.881449189934908,4.232996803348089,0.6516438493745254,0.3410544996885872,0.3844894009116737,-17.391462515473073,3,1
0,2.587609953201063,-0.15512167421749282,2.742176177806255,0.504976583721267,0.3455144914768873,0.39953253600512445,-170.9201383313717,4,1
0,3.2433359082969546,7.293540558789344,7.58726206954746,1.6331896169274625,0.28152390890068046,0.3197681268040267,-181.69581984074307,5,1
0,3.3273180175838997,6.8045569484925235,5.4059934225685,1.0084855390623857,0.31773217994050074,0.33805536580133,-226.10055836003917,6,1
0,3.103345230931974,8.70829712813004,3.960618524711696,1.0592882565019197,0.3099583149918469,0.3957720497087678,-195.27279345530573,1,3
0,1.893497515003236,7.2458336386361735,0.8840100173330789,0.8329526445629241,0.3117231643914372,0.3731186404296093,-40.12226801118587,2,3
0,1.677753374558582,6.794672444866079,3.123095579710284,1.0681039872936942,0.2875131077304592,0.3978824541202074,13.594343746445329,3,3
0,2.15945493961199,7.759715111010374,2.591862011411172,2.8844707896793573,0.20583675308170307,0.10135827158278837,-17.165770531069967,4,3
0,2.376109351342597,7.337983047384871,2.3516026044056777,2.1052890406951215,0.21437512416851712,0.2203723323416521,-45.12004470859381,5,3
0,2.474435735027468,5.826804572047182,0.01217543114805064,1.0125650817966543,0.30465843247876945,0.3442615108301962,-69.67782281566922,6,3
0,3.858295662216006,15.0,4.469477480824885,1.055741708622731,0.3026590926718131,0.3045014779235725,-308.6299376517763,1,4
0,2.9656147259851995,11.608640606440163,2.2694365615098375,0.7372422574502306,0.32894449229264133,0.3534723731874681,-226.37487213643016,2,4
0,1.9413397850876446,6.501613693608466,-2.5453188429761,0.5175287996711111,0.3370332705150233,0.36343188489036965,-92.92919937960926,3,4
0,3.43391051473947,14.17479067480209,3.7077855905932315,1.6689076927651796,0.3030599565297919,0.2626018259492696,-238.13400992737135,4,4
0,3.0079020466284834,5.878427068828003,-5.684505908833806,0.5038222147043192,0.3374560707964822,0.3653496035986389,-206.052750182635,5,4
0,2.622178984091877,12.284796956801825,4.251121477753069,0.87305837263261,0.30484240520958006,0.33283133184507163,-193.0013159326365,6,4
0,4.548835996244284,14.707161268338803,-1.668947005004063,0.9717712502007716,0.3115029594593052,0.3445936617305381,-299.7038110249788,1,5
0,3.297703350139385,13.811999791254973,8.176989766905976,2.294930493254488,0.28148131691271866,0.3669248877614055,-224.6543201739619,2,5
0,2.8812779003326674,10.923374711323834,6.125102141797996,1.2746053326343207,0.3154794861155342,0.4147670150516757,-190.08556175685433,3,5
0,3.765042697334091,8.91647829802636,3.153323409686439,1.1070793774551264,0.3208540245188509,0.4037910739044547,-268.30977602574586,4,5
0,3.083347724542107,15.0,4.146364099984396,1.0343336820713027,0.3405240561240493,0.4594047928172161,-218.60958136672593,5,5
0,3.0263425213040778,13.64739136791625,5.6386950608968425,1.622354031724994,0.2978147692870355,0.37593351072992076,-212.75331908893443,6,5
0,2.927207732115605,14.635999467156815,8.278368021025289,3.517450514338403,0.21066257472290073,0.24394579606360312,-198.19325744798394,1,6
0,2.1230004194921093,12.467077066661997,6.694308958943299,4.893188084686882,0.15621417777695507,0.20745253938049285,-88.02498576163485,2,6
0,1.1127772124453557,7.275784878685957,5.118822412485856,1.0168639146613132,0.20074327631708072,0.380219044612727,25.95070257791437,3,6
0,1.9966018949967101,10.977842734408231,5.001894720514387,5.927782749892056,0.11763543748450611,0.102135217498725,-37.97399272502574,4,6
0,1.7558049719516053,7.665951954359886,3.4892512275247087,0.8537900600483019,0.2642797289350402,0.3728802031801699,-39.42284798653434,5,6
0,1.703204335239417,6.3868540758721055,5.171216216131182,1.3569469257346003,0.16787222719110612,0.30486779056416946,-22.06536368650476,6,6
0,1.1390031150264592,8.668082449460968,7.314039395272686,2.639701301452378,0.10542425305169484,0.16847890965255297,-3.766570372851291,1,7
0,0.737847335216722,8.377903877529109,5.53238437624861,0.8676276172372335,0.22709208769434097,0.30511037489433646,19.394002832399252,2,7
0,0.1870565196015313,10.781851583552841,6.3936140705692965,4.457956231028306,0.1006579396886404,0.10308695615431307,73.18350155541852,3,7
0,1.7558172657327218,8.34918242149255,3.531604063502525,1.2838523331873952,0.20581652191216981,0.2525989553069369,-17.918886304812624,4,7
0,1.8600708807205095,8.59561850860615,5.236860403699384,1.304722551925312,0.2009406444391053,0.29124564575119694,-47.793635427459215,5,7
0,1.956491388833757,7.272006688321786,3.936331546872356,0.9410176549866338,0.2364885688914955,0.31756759885671293,-63.999923548592946,6,7
0,1.5708794007793043,6.2162016802771,2.162368632923244,1.5416175497780213,0.13909363280201648,0.2760817055061091,82.70444485983052,1,8
0,0.6698221475564788,6.450565912471015,2.2133419445463645,1.80369426994865,0.1028815171030732,0.24512012775709446,212.49267958533048,2,8
0,0.27108625853067747,6.529431379222708,2.440081915548414,2.205606136322558,0.10068134084211988,0.1318670139565053,254.8461609652306,3,8
0,0.928238710008354,6.077865631212948,1.2941402100661226,1.556810403622755,0.13220353760342307,0.1889696377068374,231.72583871927404,4,8
0,1.101278057509002,6.917310069620664,1.678949343946297,2.1227912885176767,0.11199150259798024,0.10342115187243694,174.44150516107064,5,8
0,1.0467790943616744,6.863157834720207,1.369492955877905,1.7465302219308154,0.15036208402108742,0.1056440468528646,205.14165075949617,6,8
0,3.1994661455547715,13.653488707995402,4.111754088306207,1.3740058618632485,0.3415833430619733,0.354140104809617,-253.22444180606303,1,9
0,1.933152796745967,14.41021983229395,2.3262279533871424,1.4991026224994033,0.3485191715348961,0.3022582315552713,-31.5845266803229,2,9
0,1.2538959205074045,12.808066129956572,2.421554747024368,1.0406485862670256,0.37384093678657815,0.3735973188482829,31.33600765752466,3,9
0,2.837801560523727,1.5241421125649564,-9.392673773024606,0.5096649021893778,0.38332131651219936,0.4550937024709217,-118.9003184781681,4,9
0,2.302681929881854,11.700191274196442,3.5262156655348815,3.064201083950265,0.2832019296038105,0.17994243814622507,-72.54448379539423,5,9
0,3.198834484116652,5.8560547746745515,-10.8166378459236,0.5032121211082026,0.4085857248987729,0.4477090952692998,-165.14386127944852,6,9
0,3.3118469420604777,7.08083277668378,3.4544102411562423,0.6920257076227765,0.2928460957191825,0.36035626918523295,-539.6747691664528,1,10
0,2.018003108775237,8.153460561187542,3.468843569875707,0.9668738563696015,0.27442997613793924,0.33480396485292385,-223.63377573767895,2,10
0,1.3240639952762912,7.8869498381987855,4.139116351562141,0.7673230501700985,0.27160524449677054,0.3720517558330556,-52.60518712790521,3,10
0,2.3594336132529534,4.39881793499785,-0.5382606108811776,0.6637780632433152,0.27005163200994375,0.3682203123486394,-224.96089520529753,4,10
0,2.5139331988295965,8.629920414407476,2.956523038508645,1.472045985602405,0.2394736332575098,0.2877201874001928,-243.05262840674635,5,10
0,2.6650398446959707,5.212543391848327,0.9935037285516565,0.7997841325509842,0.2658426433987802,0.35475450486912374,-295.8009112027085,6,10
0,3.9163614430946265,11.800169013178106,5.888702206733793,0.8744514119528,0.3301229966261454,0.3661446367704792,-648.7168390169011,1,11
0,1.831373597029251,9.759419422411558,6.285293132656553,0.7990444822897751,0.3380448485799988,0.39236270453187505,-241.55325742445928,2,11
0,1.2942396935182887,11.920488543442222,5.119445111156624,1.0342232661964346,0.31532458868711055,0.3590610371335383,-79.30422250990847,3,11
0,2.036098511848368,10.53135205519841,4.501862705392903,1.139390192152665,0.3203278704092736,0.3456979917261811,-198.29595513294902,4,11
0,2.509567885766753,8.93351318212399,2.3831707961070463,0.8260229631612033,0.33077214172162805,0.3957836965688891,-313.65432656893677,5,11
0,2.437847430507862,7.0840361385935156,0.33630059201536905,0.6531370613328522,0.358165387654369,0.3937723627248003,-293.3715463461807,6,11
0,2.327610029112658,5.812532411399868,4.219702999404323,1.379699621617006,0.2120950272906354,0.2673995206927658,-207.45893311550304,1,12
0,1.3095848139055286,7.734393234497729,2.679344513989077,0.947943172978444,0.30195175552871945,0.33610957879795367,41.2704412082065,2,12
0,0.7010415938825767,7.542695721792718,2.278439170690796,0.9214722721690451,0.2746243156892426,0.3034655783427005,209.96310120833868,3,12
0,1.5793095458355324,4.607919843656345,3.2384618850445213,1.6307008649826389,0.17602264471059775,0.21245367443398844,115.80232954298287,4,12
0,1.642638723510979,7.401277860242711,3.3668768616999265,2.8845053148706286,0.16855265492435906,0.10879385438155736,53.0589049569533,5,12
0,1.6729503221642887,6.673878978817624,2.8950017752192445,2.0346207872036066,0.216966335893291,0.15931868778420116,64.43470972233324,6,12
0,1.9165481481136515,6.569277089324261,0.4186066176558212,0.8391409315754701,0.314539258050432,0.34414696916589194,-99.2419570753818,1,13
0,1.576350813225825,7.148438960697297,1.668538766740605,0.8758270141718647,0.3383180255945726,0.3943702084014463,-2.609242679256475,2,13
0,0.7196894972461829,7.557706654208221,2.528982513939503,1.0805440109564781,0.3100820915336784,0.3242016593313952,237.7797945996674,3,13
0,1.5624871902593767,6.973986505976757,1.4597328565466754,1.0647590131159648,0.3166906271468044,0.3303532696773033,66.87839215891805,4,13
0,1.6861462491965924,5.932479594560867,1.2422378537319854,0.9866976631623361,0.31118585798782383,0.37157294040937056,31.474458310521136,5,13
0,1.487698996041071,2.630997987324264,1.960412128253668,0.9724342063798614,0.2635275181944636,0.34771083523602186,96.2518266067564,6,13
0,3.151358990192482,1.2143734985799237,-6.7726395609748336,0.6418569743781508,0.284188929990839,0.3538951026998711,-305.29775819974293,1,14
0,1.8861538953569377,7.548202427691481,2.3557053908439562,1.2244439984406652,0.2807048890784581,0.33950102199650184,-34.48575345866392,2,14
0,1.3689319931388255,8.326896331797816,2.39434302430438,1.80682991311373,0.26633388972775124,0.21549487259922073,150.57813481601272,3,14
0,2.0509245428194594,3.7325561373651617,0.8454954636522893,1.0439635824131859,0.3206691656657241,0.4194590411122402,-101.41629160418896,4,14
0,1.5343783726381115,7.291918064050786,1.2169296979594113,2.060413264044171,0.2452363023136439,0.1227160943864557,172.4659076219819,5,14
0,2.0900734297334935,3.4549933027116797,-5.95204727146927,0.6593636619683303,0.34916828018503765,0.46510813595971534,24.49615767856291,6,14
0,2.4108895563290442,7.9854404529186285,0.8000671691357676,1.0180784683122455,0.3159278257244128,0.3667904799662619,-208.39127990677454,1,15
0,1.998628092859674,7.815307045382887,2.663734807260836,1.814867467802566,0.267233089986907,0.3100200244416512,-55.54641628359442,2,15
0,1.1162684586154394,10.138784131608539,2.428109601504485,1.4284386820161692,0.30988835284991495,0.3537078982893851,130.12681404229187,3,15
0,2.0460892515099105,8.462464121084054,0.8634256597251565,1.0321020654525856,0.3397866049403341,0.43526377919519743,-121.0587535484135,4,15
0,1.8092449887630337,8.037364574329954,1.5302939523665746,1.3620815167741975,0.29492223068191936,0.3501823453611303,-7.717430433847653,5,15
0,2.183573919855933,7.9357253867727575,1.270531105426687,1.0180840700201954,0.3316205169345558,0.42143550701892174,-149.3844549473028,6,15
0,1.9107389226853015,6.984457339553135,3.1340016149640535,1.1135164332735004,0.24283982260663645,0.3355147362067772,-131.38925530505912,1,16
0,1.4846686764244763,4.179037572787642,2.102435040054353,0.9488744187398188,0.22695393932289926,0.3926392806470713,104.08458777761165,2,16
0,0.9856214461260229,4.835551030465431,2.7657343697978423,1.2303620170579332,0.18312679726057163,0.34060654974644367,267.1571475255959,3,16
0,1.566035965054918,5.926638816255462,2.9308399961240705,1.3266882399798687,0.21418105867823456,0.3555457463706808,59.27057883365391,4,16
0,1.4009719714272182,5.521756792735014,2.2223176000843603,1.2509036904764865,0.2004210504247973,0.3281393250246961,155.2461206935525,5,16
0,1.475346369709614,4.0129160008648554,2.771401823613289,1.1387843339271715,0.20630090344660107,0.3441669926007158,147.3388440311033,6,16
0,3.0551248762311234,5.072512829577588,1.5622431523233937,1.2680726966623723,0.27575080123831697,0.3458300292272831,-326.02958267909474,1,17
0,2.540699064239187,7.70102698917696,2.3130480722421254,1.4535647815059531,0.30229236060424414,0.35377890587650895,-220.7171510295219,2,17
0,1.8705321945529616,7.074557268720268,3.186801035583349,1.3583323031880437,0.2844874352530582,0.3806618764665089,-21.894564977889623,3,17
0,2.3277385416118617,4.919772072003941,1.896050484369304,1.1556441944378584,0.29777588737240485,0.41090652488649165,-146.94309800458765,4,17
0,2.3213428433731287,5.864748406719094,2.310305791340234,1.2703529439991739,0.3096567179432587,0.39730309578267087,-154.1908538923791,5,17
0,2.23698982881481,5.364592510114713,2.645418950672992,2.1315172841618795,0.21576277742179018,0.2749270020084302,-76.32262921916723,6,17
