,Frequency,Participant,N
0,1,1,156
0,2,1,150
0,3,1,157
0,4,1,147
0,5,1,148
0,6,1,155
0,1,3,154
0,2,3,163
0,3,3,161
0,4,3,163
0,5,3,155
0,6,3,162
0,1,4,157
0,2,4,160
0,3,4,161
0,4,4,161
0,5,4,158
0,6,4,164
0,1,5,160
0,2,5,153
0,3,5,156
0,4,5,158
0,5,5,147
0,6,5,158
0,1,6,153
0,2,6,164
0,3,6,151
0,4,6,159
0,5,6,157
0,6,6,151
0,1,7,157
0,2,7,156
0,3,7,162
0,4,7,163
0,5,7,157
0,6,7,159
0,1,8,151
0,2,8,150
0,3,8,153
0,4,8,160
0,5,8,150
0,6,8,146
0,1,9,168
0,2,9,155
0,3,9,158
0,4,9,162
0,5,9,158
0,6,9,160
0,1,10,308
0,2,10,307
0,3,10,303
0,4,10,305
0,5,10,303
0,6,10,301
0,1,11,297
0,2,11,310
0,3,11,307
0,4,11,299
0,5,11,303
0,6,11,299
0,1,12,307
0,2,12,307
0,3,12,304
0,4,12,311
0,5,12,305
0,6,12,305
0,1,13,309
0,2,13,306
0,3,13,295
0,4,13,294
0,5,13,302
0,6,13,292
0,1,14,293
0,2,14,303
0,3,14,300
0,4,14,293
0,5,14,296
0,6,14,297
0,1,15,305
0,2,15,307
0,3,15,301
0,4,15,306
0,5,15,301
0,6,15,301
0,1,16,298
0,2,16,300
0,3,16,305
0,4,16,302
0,5,16,299
0,6,16,303
0,1,17,292
0,2,17,309
0,3,17,306
0,4,17,305
0,5,17,301
0,6,17,299
