,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC
0,1.9725848140068167,7.2755682411529286,3.541211337331361,1.5090827673730058,0.2959256057256965,0.2678000081718554,1,-194.0139291453912
0,1.6242182202918678,8.091965854023337,3.3529392738896107,1.4311809306658074,0.27830574919041906,0.3316240098619825,2,1.5114342313285434
0,2.0618382802920037,8.00216568747682,3.4595889117436722,1.7396513595322571,0.2075672811355675,0.18835401883767844,3,-225.6051597016225
0,0.7034217749666937,6.832263938392351,3.842136489624912,1.1589019826382199,0.2083215586123382,0.2627149051293634,4,180.98583384656774
0,2.128154622722501,7.301161983364369,2.3002377051807277,1.2703698121061051,0.1872875799101834,0.25812146871312064,5,-312.76444778679974
0,1.1617833282171606,6.290432918097475,3.7133778572515763,1.1591428565547073,0.2144097195277883,0.2832683976768857,6,28.869093999804115
0,1.6193280612635075,5.896490545454927,4.362964329292853,1.2410766569944407,0.20465983805708737,0.22302948289075097,7,-106.42424999831624
0,1.3809254042486236,4.398633082486731,1.5390415155065218,1.5450916976534597,0.13219514280409012,0.2250372951572473,8,224.53968347127116
0,1.4366628698227655,6.5371905658400955,2.619700798778734,1.6371525140862646,0.16663873214054037,0.21775863040349752,9,61.23416317964726
0,0.9861451161498608,8.944546448440613,0.07162749121613117,0.917280687507184,0.16496888245301156,0.22470240836491984,10,243.32211405731633
0,1.1407774871223761,6.194555081832352,4.175024801659168,1.2244415864721154,0.18442556856450382,0.1909612640261008,11,54.775457382213524
0,1.0341727004349197,7.2984973366992065,1.8832626984259435,1.6292438854503417,0.17263478243871083,0.3581094539013463,12,294.2055805881731
0,1.2428640934694646,4.794370216533798,3.386149873598229,1.0764512931130938,0.17596209570617372,0.2835423224446341,13,121.693897012863
0,1.5421654809660523,6.4807886279341975,2.6630916973726375,1.3911520717493149,0.29057284186299004,0.4504422842163272,14,-3.5229296247073734
0,1.5517757483217354,4.358214603320135,4.920751843764439,1.6826876460531368,0.1399607563381859,0.23353007502158485,15,-54.65737025344671
0,2.12869559237721,5.303450599122076,4.600806148705987,1.2377766699829431,0.25357480745816485,0.32832661235998073,16,-278.66671506280727
0,2.150003549055572,5.784611711587496,-0.48195835015813643,0.6595770401448315,0.2855684361093745,0.3460430571321218,17,-344.9599827112956
0,0.6518987073430692,8.041156689988814,2.1038871551815537,1.3828713472273626,0.3168160507749228,0.36464767346957616,18,446.95597614580686
0,1.8851149714835564,7.197869348847826,3.733136535342795,1.439049156432247,0.2021292956247594,0.31957279126821037,19,-231.7577916076789
0,1.4016460022559287,4.633206165668525,1.5553573470733533,1.116827487318417,0.21806814127088864,0.2843566465379064,20,161.33440391697323
