,Drift Rate,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,Participant,BIC,Frequency
0,3.3892881292439645,-1.2632365585533996,3.240862206767601,0.5097196814726122,0.35401397881035745,0.3827707966585743,2,-266.0174754624081,1
0,2.4310252703581128,9.465050162494773,4.95687106549719,0.830453255554084,0.35913352149532235,0.360020503822322,2,-143.2618528502948,2
0,1.3476148006870887,5.050195782756317,4.402988448077848,0.6550009204392424,0.3471695076252891,0.3854749335038645,2,-17.38171364125631,3
0,2.5870213470925756,0.3719828448122748,3.178368524006036,0.5005029826000857,0.34941699275288374,0.39375320978979444,2,-170.7713706658505,4
0,3.222059952125319,7.177285521271675,7.475687754073202,1.594398732300908,0.2869126130779359,0.31647675470937925,2,-181.77792329138407,5
0,3.3526031278259776,6.952204726941013,5.5311786061667165,1.0100001566338208,0.31214435701200677,0.33285094007476657,2,-226.11222927724472,6
0,3.012077218363241,7.335704399703074,3.2109792664039736,0.8951840331023497,0.302329118396669,0.40114802349493583,4,-195.24377010071154,1
0,1.891004310934419,7.317149416724684,1.0171494366222513,0.8301524468586701,0.31611853400685563,0.37238444667067166,4,-40.14957023768683,2
0,1.676608019381705,7.0373838113958564,3.1208174511450855,1.0980056902165294,0.2866313728028111,0.3827422350659099,4,13.515920513651604,3
0,2.1544769310908922,7.696700287986436,2.5542430393678233,2.8374626937745977,0.20044892241092832,0.10515738898500765,4,-17.158794923819308,4
0,2.7499337811080533,0.47111396646980047,-8.875905271328717,0.5608333546011139,0.3131551684148927,0.3920913115519581,4,-48.93716419456098,5
0,2.473400007364195,5.89293139090071,0.09499238823169529,1.0167798233519338,0.3008910353955684,0.3420027208020459,4,-69.65802196277834,6
0,4.2846745158057225,10.0,-7.553839606862402,0.5077102796362483,0.3396580382006772,0.3489205098788405,5,-315.12703980237745,1
0,2.9433624931418785,9.939826969122025,1.3982883845571747,0.6497807700703673,0.3201416954392966,0.3623717869239815,5,-226.37932821781845,2
0,1.9185437233384868,7.895772823646149,-1.3262135261839603,0.5456066956244419,0.33747497582356656,0.35196246980312146,5,-92.73932548046281,3
0,3.62264042510563,6.906567366205702,-8.033958738699015,0.5090068519034565,0.35545351284327353,0.3612223649450472,5,-239.45938687975857,4
0,3.00220522953577,6.318153878260438,-5.134062410540822,0.5077987244117939,0.33928666319476325,0.3664625943060772,5,-205.91720060899002,5
0,2.5486428949553273,9.650057831482231,1.2120081718447673,0.6217459939155741,0.31777300703564604,0.3503721854554511,5,-193.84939977163498,6
0,4.461091623193706,10.0,-5.6065169867229345,0.6460370334835459,0.32884347260327906,0.3846513558436538,6,-301.70149784283115,1
0,3.1836545792285245,10.0,7.181726843341438,1.5734468484013169,0.28374736892141467,0.38871378569603304,6,-220.64572969462316,2
0,2.7717537803402785,9.515747738044032,5.331949093737761,0.9516719438855445,0.32777709939361166,0.43719775076085776,6,-190.21994494841445,3
0,3.7583401749326324,8.116200548551749,3.1215884660213833,1.0223762572311128,0.32161619741742453,0.4187739423751078,6,-268.2474190086709,4
0,3.3388111707801325,10.0,-7.036069570559492,0.5057714564683251,0.370841350671949,0.48456793018752076,6,-222.94938524058713,5
0,2.9283535181051326,10.0,4.996533237453518,1.150376343219869,0.2929547767938986,0.40467914147602985,6,-208.97802581659906,6
0,2.8260991054365037,9.4857918330877,5.819177298396865,0.9353707943502658,0.26854180928137866,0.3589020695515308,7,-201.4852073296978,1
0,2.0391625070900177,10.0,6.248869446815498,1.850228989617127,0.19077039626515424,0.3283935912748484,7,-86.61015034697745,2
0,1.11401294305673,7.3263738730543615,5.172617700951808,1.0101705385332922,0.20197832633070456,0.3899721651737549,7,25.97105077185686,3
0,1.935493125784372,9.872684692908434,4.840836799490781,2.883481611685114,0.15055999054574037,0.22739425603273977,7,-36.36899302896235,4
0,1.752519902396815,7.410719371381107,2.9473229979525026,0.7688730755792204,0.2735476640718475,0.3899350148193841,7,-39.50145827565171,5
0,1.6997206206416207,6.305425849012176,5.084958074348956,1.3256002415347194,0.1680982075794008,0.30039087400196124,7,-22.012309386558726,6
0,1.13919499657532,8.692788359490327,7.339557805110053,2.6420704456151918,0.10481808164304729,0.163607074029817,8,-3.759416778241146,1
0,0.7857659700530075,7.9449970154727065,4.90644500699735,0.7583239844092957,0.23821362418570147,0.31352852538181786,8,19.36962669541393,2
0,0.1913930939645556,10.0,6.034151164602723,3.631953963562893,0.10232653353626436,0.11661655352862871,8,73.7349872761414,3
0,1.771553668278219,8.325575344946166,3.5353438575780474,1.2893540404369275,0.2045236799967713,0.2532891892509051,8,-17.91046485047041,4
0,1.83860531656186,8.392733933502736,5.089242980447299,1.251697103181578,0.20264306095382828,0.2988535727245457,8,-47.770315203033725,5
0,1.949392941587133,7.18374827954271,3.8576128202023505,0.9275837786291956,0.23962841983033217,0.31861726493873177,8,-63.991062591580246,6
0,1.5970822717059192,6.390101643566791,2.2946494679280702,1.607996438604018,0.13128169517820787,0.27564405011838694,9,82.65842518880926,1
0,0.6730115774330564,6.4254833305111445,2.249566517623217,1.7864574188362599,0.10684317443956298,0.2560484288167034,9,212.54485441026077,2
0,0.27210400798692563,6.267901842417025,2.386445761186483,2.0354675883786215,0.10692841254625512,0.15907923780976174,9,254.90756353191526,3
0,0.9265923544006868,6.055083611382317,1.358887357080603,1.6381395017534097,0.12038180294804374,0.16462549002034643,9,231.65647760872645,4
0,1.0978439281807497,7.019828971266041,1.5915787069325151,2.02492448547429,0.1256293981995607,0.1095977862757721,9,174.410230398443,5
0,1.0260767368228585,6.584513270334319,1.2261582343400392,1.6225317643416233,0.1528861207980542,0.10176003962083602,9,204.88620278332084,6
0,3.085288014230709,9.96363898121656,3.807222197979212,1.2695076882276757,0.32430688766150906,0.36826456267463814,10,-246.22524344538968,1
0,1.9954266890164334,9.833304473017842,-5.770740804121802,0.5733008504925596,0.380299103030707,0.42718796988018853,10,-32.48362991470846,2
0,1.1815637069114902,10.0,0.3970594846202281,0.7386848401110053,0.3890879118169555,0.4131821502272147,10,34.06543677221336,3
0,2.818261325574222,2.028565742316181,-9.107253729137794,0.5096767254643106,0.3828525081911203,0.44155314772816767,10,-118.77170511327226,4
0,2.262016126838629,9.987060006689306,3.3728898101706757,2.545720680490441,0.2758974970675273,0.20218942682054974,10,-71.39685905676265,5
0,3.1603277690633855,6.368483809412641,-10.0,0.5088676593787302,0.4017795481918497,0.44908417126962774,10,-164.95048702513316,6
0,3.3098077766411587,7.058230726067547,3.438295218071287,0.6863072019189609,0.29160054932325324,0.3642256375325746,11,-539.6102046097957,1
