,Drift Rate Speed,Drift Rate Accuracy,Self-excitation Speed,Self-excitation Accuracy,Boundary Separation,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.9821047085813337,3.8718259806284454,0.21232972055348687,1.6641822098336525,0.5162343475674285,0.3590900611739848,0.38173493896996646,-263.26506784152934,1,1
0,2.5172253537510993,2.369833301972395,9.880072370452806,4.896801643152882,0.8840814184348522,0.3527020315806096,0.3548036228300059,-138.50893139743474,2,1
0,0.8812870571573884,1.7440890410786725,5.421223395387856,4.671296996125475,0.7000851451212071,0.33946563595058393,0.3808577946825019,-17.660752536961425,3,1
0,2.377603836059565,2.7710377103196904,0.37329894174737155,2.3262984707708774,0.5086260585964539,0.34742281315690493,0.390963216245041,-166.61121061548076,4,1
0,3.6791297171833555,2.8147179831910893,7.413355429510752,6.939384133748274,1.9541055626804038,0.27085591080140364,0.27232869427202094,-177.1709905103562,5,1
0,3.5476187016919516,3.173634534144141,7.0348849900941985,5.218158122018884,0.9625747021055062,0.32049250941602736,0.33166320596243604,-221.43899752281632,6,1
0,2.837685348136026,3.252400347515112,8.441645972724656,4.044762738441213,1.0933242822600873,0.29328859128082224,0.390480595474627,-190.83094969477153,1,3
0,1.5593074241282254,2.0867467139174916,7.46140846233498,0.40455383621348223,0.8126097052436765,0.31529330187803384,0.3774282938038162,-36.95563536317482,2,3
0,1.5405949956204967,1.748821669274522,7.202528458483149,3.1271565178830087,1.1158308525565719,0.28842756361903626,0.38276013946956067,18.23621273170704,3,3
0,2.0652697450257187,2.1999742744788278,7.552935911228118,2.6158293447882177,2.9404181696750915,0.19120952516907014,0.10560654530757546,-12.164815900094027,4,3
0,3.1068456305538485,2.040639134663202,6.175616837436482,2.2401832168535933,1.5919117112843044,0.24652931643555298,0.2728850572798876,-46.46131330818269,5,3
0,2.784849592930063,2.247067788680186,6.029532311477931,1.2837678834930022,1.1819106684995608,0.29243278241854664,0.32528480392014936,-65.95651287957875,6,3
0,4.021443151080756,4.516339459148352,9.872036912046573,-9.043657855401932,0.5015469336084726,0.33713973128747926,0.3417304417013169,-310.60797179166576,1,4
0,2.5321887899610838,3.3424328528386473,10.0,-0.05564803284987453,0.6443218626259273,0.32450296461622985,0.3666840655587553,-223.54732837357597,2,4
0,1.6528149792053564,2.127531691195888,7.509508005000269,-2.149387935740399,0.5379200352310387,0.3327006090089106,0.36757350880540196,-88.88779530471712,3,4
0,4.017537453311966,2.936853048520578,10.0,2.0026347025525033,0.8413987879002112,0.3327148884661913,0.3382584892646423,-234.82807793314774,4,4
0,3.6388972415740493,2.5359525410227977,6.34916810700203,-2.0995364574552116,0.544708603894601,0.33561919143862873,0.36773197250517387,-204.52126728409428,5,4
0,3.39475185684248,2.2179116828616383,9.960930877029174,2.8295122744331307,0.7080419201902699,0.3123599034510081,0.34365565726238034,-194.35597400073502,6,4
0,4.314822434508586,4.717241999722823,10.0,-7.422311743048029,0.6210407844947685,0.32685513934062715,0.38805147620102887,-296.5692336751279,1,5
0,4.406669529516877,2.6716839308254317,10.0,6.930266103802516,1.3015728841301923,0.3146557019473761,0.394931235619136,-223.3582141879163,2,5
0,2.365817212837649,3.0909376243286206,9.710774602816397,5.404131231107378,0.9425042271762902,0.32563850936075134,0.44743241578832416,-186.97373254881052,3,5
0,5.0085935883764074,3.3115810681276843,5.705905819882071,4.05017770691604,1.1813429396954787,0.31146749489476944,0.39378554189733284,-269.706079566854,4,5
0,4.381684623840947,2.6240970498493428,10.0,-3.692124184180247,0.5262538719901619,0.3748717913361128,0.4831592013716386,-225.7761539161212,5,5
0,3.5690684602015508,2.729589322516042,10.0,5.073840185145058,1.3146628529526874,0.29983234642469325,0.381309476760864,-206.5473632097077,6,5
0,2.4059603183314566,3.076859003546514,9.206435045768925,5.676946087548668,0.9670715722678249,0.2598457234715159,0.35465172715409365,-197.7427073423458,1,6
0,1.4049119899576268,2.5234919695799434,9.806745619659536,6.033024088197662,1.6802317745177202,0.19518359827662207,0.3420516028768045,-88.20666271243485,2,6
0,0.48412882978664934,1.6190226939251013,7.279321655977047,4.970124055546476,0.9933195749581234,0.20798910805731713,0.3907061342121072,21.497044176606266,3,6
0,0.9008444104557999,2.783701443813505,9.950927224322207,4.831339532079718,4.648320707838938,0.10394296078888665,0.17262782221000988,-52.417214685940046,4,6
0,0.9064540231702419,2.4102855788101647,8.329101085730024,3.863360666933688,0.9763497264086403,0.2574811440675523,0.37902973233225634,-48.457040578878235,5,6
0,0.6308879800635125,2.6874406256778602,7.481880939552498,5.589614994865174,2.2948852682843275,0.11027149416178234,0.26597760920829755,-42.245495286561656,6,6
0,0.21826907107344234,2.157148535752556,8.317525414008008,6.524305743409172,2.3359348031806686,0.10741213598968585,0.18271178434358992,-23.421988019457075,1,7
0,0.0,1.5026773424553752,8.540491702157215,5.0256205244008205,0.8929884240229056,0.22316087495029774,0.30560773898337956,0.631816705327978,2,7
0,0.0,0.6954639661834519,10.0,5.956845367363344,3.758873016111431,0.10746443210845852,0.11221283720240272,68.5388529740546,3,7
0,1.890501762166366,1.6621312560634875,8.380289560217818,3.4498646118009524,1.1998221424419588,0.21446092433255837,0.2628539560416168,-13.186084716990358,4,7
0,2.44854276586682,1.5276202014713391,8.041010473653552,4.927868332494683,1.1999765782036689,0.21927973478725893,0.2928072132861229,-47.634518378394404,5,7
0,1.9950235211982275,1.924750453178442,7.157554939308615,3.8868824909291986,0.9332127520544695,0.23226796438708563,0.31773584985803355,-58.972331265982156,6,7
0,0.609402436376694,2.1451966518455916,6.324246110936598,2.1172926165580974,1.744345422023052,0.11404380964527855,0.2779117446815501,65.45986917525286,1,8
0,0.0,0.9429383918829937,6.5717851505522145,2.2216588619894937,1.8661011654506168,0.10029172477425863,0.25180246029267034,206.18196883548194,2,8
0,0.0,0.405331910779906,6.244117140730529,2.407355839359482,2.047704109394983,0.10650896095079276,0.1631394826425543,256.86030056477034,3,8
0,0.4903666120955219,1.0705381669200709,6.158599303706372,1.4132361150515702,1.7654133091956687,0.11043078455840122,0.1523648127187071,232.24929122886192,4,8
0,0.3771102269171637,1.358513641667399,6.887492292677777,1.6024434071542961,2.214057475441888,0.10791903777664091,0.10967625777298645,168.794000984739,5,8
0,0.1267310278231236,1.2982585653647283,6.78381771279232,1.307687572207346,1.8180190444481497,0.1477730089198181,0.10304434314525629,195.34474402674098,6,8
0,4.520258058366869,2.3032125142175155,9.984949422163458,2.2797991996622526,0.7885789585180358,0.3741434485937026,0.39657161473614394,-253.29760658974863,1,9
0,1.8941021309476196,2.072319026647115,9.674759264380857,-6.408126434980035,0.5789327343590784,0.3845408624720708,0.42234040677961715,-27.56597987143803,2,9
0,0.925242263300267,1.2612317861956563,10.0,0.15040658356987044,0.7365139942099059,0.3845546897020631,0.41889650417800217,38.36203548014259,3,9
0,3.196021961460088,2.2854192692173734,2.153403860763091,-4.323076008500843,0.5701340472719103,0.37193728178658075,0.44198436599545277,-116.02554668105662,4,9
0,3.3127183193707848,1.8838777247916478,10.0,3.078777680526065,2.2333622910892035,0.3047169564943001,0.19817287119503385,-76.46433649094547,5,9
0,3.1640372326459967,2.9245140012920015,5.764523815566946,-7.544149240808255,0.5457899022886954,0.3916270667867462,0.44625661303766034,-159.01660725566143,6,9
0,2.7958139492804888,4.091948826419572,6.68642280517867,-0.5852437880515744,0.6473643915007288,0.2905241274313441,0.3601396050070541,-544.164048848463,1,10
