,v,a,ter
0,0.2056315,0.8364266,0.4962685
1,2.9790914,0.71120095,0.80850506
2,3.8101377,0.7680869,0.64682174
3,2.5654972,1.1189649,0.72651166
4,2.3988898,1.7445396,0.96773475
5,0.17802572,1.4955933,0.5545354
6,2.7451963,1.7862487,0.8647183
7,2.15339,0.6714754,0.4387058
8,0.21923351,0.8000521,0.96148974
9,2.3595388,0.95116276,0.21648689
10,2.7156503,1.7267522,0.67997205
11,1.7096181,1.0874692,0.9029728
12,3.7196734,1.4657855,0.33798596
13,1.3921025,1.341,0.63773584
14,0.14556241,1.6381904,0.38803524
15,0.6488514,1.5988803,0.42624816
16,3.942039,1.822526,0.35781434
17,2.9090314,1.0762811,0.18701735
18,0.57150245,1.3206241,0.8002858
19,1.6453187,1.2037784,0.4470317
20,1.2573187,1.1014397,0.33361188
21,2.8723497,1.8842151,0.87875736
22,1.3272996,1.167285,0.8499671
23,0.8232391,1.4539478,0.44591162
24,0.5748899,0.6659193,0.6116305
25,0.3693838,0.84110653,0.99504435
26,3.7985497,1.5311127,0.99774396
27,2.016145,0.69918764,0.9571043
28,2.6821473,1.1465335,0.4680687
29,0.7062137,1.5167415,0.82255775
30,3.5829635,0.88538605,0.14174505
31,1.5066917,1.9116522,0.29414278
32,1.6227512,1.457245,0.7990367
33,1.6780488,0.9609852,0.4011247
34,0.6873858,1.1456373,0.3980069
35,2.4070518,1.2143017,0.42428476
36,0.2522967,1.0671704,0.62929547
37,0.23082018,0.9214571,0.38999528
38,2.6679614,0.703665,0.8363028
39,1.3122945,1.325654,0.7461072
40,0.08513188,1.1940172,0.5442929
41,1.7476857,0.9239755,0.8111078
42,0.8966794,1.2622827,0.40870598
43,3.587153,1.7021745,0.32191235
44,3.9536808,0.9144659,0.33218718
45,2.154017,0.79055893,0.31790936
46,0.7212665,0.6450172,0.86119133
47,3.8959978,1.7782338,0.6477532
48,1.9632914,1.959502,0.3363806
49,1.3065283,1.0812076,0.69070846
50,1.9008443,1.0026827,0.25413212
51,3.0059037,1.4683933,0.5025992
52,3.320632,1.4508281,0.89360267
53,0.58542085,1.5255203,0.8424534
54,0.4522438,1.0402604,0.49517328
55,3.073146,0.715016,0.391327
56,1.6887579,0.5241375,0.22036237
57,2.060443,1.0456778,0.35594586
58,2.6714704,0.51785076,0.21679851
59,2.1701608,0.51720214,0.98442435
60,3.7884307,1.7308718,0.45471466
61,3.2291052,0.85049486,0.18636069
62,0.54988813,1.3901057,0.40914604
63,1.7191627,1.1406276,0.4541963
64,0.43860245,1.2597953,0.12625948
65,1.443258,1.1730058,0.27474177
66,2.1389701,1.2823176,0.9478162
67,1.885009,0.72836256,0.18083358
68,0.5487199,0.8066449,0.72880274
69,3.053054,1.4898293,0.80191916
70,1.197937,1.1028639,0.5894876
71,2.928786,0.9666722,0.11781894
72,3.273769,0.6735356,0.9498718
73,3.2995415,1.1803992,0.5129579
74,3.719846,0.511838,0.9950698
75,2.30815,0.99445987,0.1949032
76,3.9524217,0.85265017,0.29931962
77,1.109045,0.5224492,0.79342717
78,2.6477227,1.4912686,0.42529777
79,0.42760992,0.62422276,0.25342408
80,1.4513052,1.1217871,0.16997251
81,1.6837182,0.6564963,0.8813792
82,2.0436075,1.4659,0.43386462
83,1.0313041,1.7185419,0.13135299
84,3.6638846,1.4721024,0.49276847
85,0.82425547,0.7699921,0.2691889
86,0.508518,0.6741407,0.5933869
87,1.8705897,1.2155689,0.9946627
88,0.58117795,1.1435151,0.10875838
89,2.4833703,0.72597444,0.99596703
90,2.9498594,1.8330146,0.36062407
91,1.7868643,1.27143,0.6875067
92,0.83570933,1.4525697,0.7092339
93,2.6868308,1.684339,0.31575057
94,0.06687045,1.2446167,0.78659236
95,3.74666,1.7129954,0.9532836
96,1.1489007,1.8243761,0.659675
97,1.4778125,0.6819744,0.49277088
98,1.1325693,0.7448578,0.17661005
99,2.9997973,1.754646,0.55657053
