,v,a,k,ter
0,2.8705466,6.1733694,6.4225936,0.74229425
1,2.3077555,3.3326738,7.366928,0.20592247
2,5.3981857,6.77756,7.241154,0.22665837
3,3.7453701,1.2762179,8.139077,0.51625776
4,1.9108393,3.2106905,7.786357,0.44043395
5,3.369172,7.069486,1.13114,0.6379971
6,3.7392347,2.632205,8.056022,0.59816957
7,1.7805609,4.6770797,2.6926124,0.9616566
8,5.8331113,7.472471,6.706986,0.27759838
9,5.5768595,4.509413,9.823179,0.43721086
10,2.86173,6.0177245,0.869292,0.4363607
11,4.0130825,7.033112,8.520758,0.82063496
12,4.697618,2.5498898,4.932332,0.56996906
13,5.9466925,4.2448416,0.5216366,0.77058333
14,5.2564626,3.9317613,0.28241873,0.9138986
15,4.5515547,6.5368433,8.896881,0.10125077
16,3.7838593,6.33187,9.026438,0.22176537
17,2.6185808,7.8415265,9.761347,0.27448714
18,1.1427301,7.703431,5.419624,0.4323524
19,2.944498,7.607367,9.3028145,0.7699778
20,3.4247985,6.1426973,4.4947557,0.21719155
21,2.3005123,4.199435,7.206096,0.60712796
22,4.01812,1.8234546,1.5322369,0.6336309
23,4.0623455,4.9044147,2.245164,0.9357758
24,2.4305859,6.447563,5.884,0.16040266
25,2.4442368,6.5436716,3.0476403,0.18949282
26,1.2205689,2.386723,3.0543394,0.48707825
27,2.4083686,6.084118,9.708766,0.1323762
28,4.2908635,5.2104645,8.794757,0.62621087
29,5.1140275,7.9320254,2.7350318,0.8249941
30,5.734714,5.3301883,2.4360168,0.783685
31,3.9574263,1.9639318,2.9710746,0.6398279
32,3.4221554,4.3411903,8.263545,0.31308213
33,5.7044263,4.0637856,1.9749266,0.34579346
34,4.193635,5.528543,1.4683962,0.6407672
35,2.7375863,5.294673,8.993298,0.93814796
36,5.976696,4.587239,3.2286441,0.3429066
37,5.1037006,6.768882,0.7613522,0.4861331
38,4.623498,2.714708,5.821605,0.81640863
39,0.02160573,7.939953,7.0027614,0.37585902
40,1.7928236,6.0664687,3.4644604,0.22443646
41,4.4128795,2.2030463,3.1167412,0.64482635
42,4.6602597,3.9106393,5.258853,0.98168236
43,3.896676,4.121216,0.77937424,0.8620181
44,1.9312427,3.9897828,1.8743968,0.82357407
45,3.56529,7.073743,4.8669724,0.68080616
46,5.832245,5.281009,1.9549,0.121195406
47,2.7025974,1.0400977,4.68092,0.64601994
48,4.4627686,7.921941,5.4140034,0.93810207
49,0.7551713,1.3739071,5.496053,0.72820234
50,5.637135,4.546604,2.2532873,0.7052603
51,5.8587265,0.6464696,7.5678043,0.97332007
52,5.622892,4.5206885,4.5736938,0.11005775
53,0.24920762,3.86072,8.6649275,0.7283976
54,5.4029512,4.488403,4.036756,0.18832144
55,4.299676,4.2238293,8.30741,0.14473763
56,0.3190266,3.3893466,8.089796,0.6198362
57,3.676423,6.151268,6.0630913,0.76107556
58,3.716697,5.043934,8.554307,0.28876603
59,3.5842519,5.4851165,2.8830147,0.76030177
60,3.4701686,0.68775594,2.984593,0.2325547
61,5.0782557,2.4234755,6.648565,0.29993218
62,3.9376323,1.917421,6.4847255,0.23887673
63,3.4678583,5.4949903,1.6722268,0.7242562
64,5.230794,1.6561456,0.1723665,0.33708972
65,5.6911545,0.8993103,5.2583065,0.44216096
66,1.3918315,4.098035,4.28975,0.70519143
67,1.9414122,2.6922426,3.7238073,0.15371703
68,1.9607985,1.6925683,4.538586,0.8124497
69,2.4619956,0.7651806,8.18287,0.6793718
70,2.5327883,1.5287421,3.5664706,0.9694189
71,3.1295135,4.517667,6.490173,0.16708012
72,1.0170304,5.24977,2.4156256,0.8440721
73,3.010435,6.5577345,2.980839,0.6366667
74,5.816099,6.5372214,7.1914015,0.80285907
75,1.6597667,3.4988685,8.145932,0.38519514
76,0.6683221,1.516276,4.4969916,0.8773152
77,5.990768,4.5148063,3.3419294,0.39588735
78,5.3116302,1.1570916,4.4040527,0.6509987
79,1.3516334,1.3658779,3.3072214,0.8016641
80,5.0964336,2.1550875,5.4976997,0.40765837
81,2.5364022,1.5436645,7.0801325,0.42215455
82,0.8349942,5.956669,5.168534,0.39860827
83,2.209834,6.902242,3.0603547,0.29687595
84,4.542633,5.683198,2.899419,0.91297317
85,1.3066059,2.7138994,7.326698,0.4563623
86,5.857385,2.6078315,4.049296,0.26409075
87,4.302459,5.6066775,7.5683546,0.9028451
88,5.9064884,4.808468,9.212561,0.6499236
89,5.0110784,2.7275872,7.6036096,0.69949377
90,4.988409,0.722149,3.37156,0.21156928
91,1.6925,5.877272,3.4449017,0.20741186
92,3.1401968,3.5541184,0.8336115,0.31521738
93,5.8785706,1.2211155,8.85564,0.58904856
94,1.0833642,3.6341367,1.2134492,0.23437503
95,3.2497997,5.528503,5.621578,0.37697837
96,1.8602786,4.9550385,8.542526,0.78568697
97,2.365491,1.0025834,0.32633066,0.96073705
98,2.9438639,6.7977276,4.60696,0.5905577
99,3.8724546,4.125018,5.8140445,0.67373776
