,Drift Rate Speed,Drift Rate Accuracy,Self-excitation,Boundary Separation Speed,Bacc,Non-decision Time Speed,Non-decision Time Accuracy,BIC,Frequency,Participant
0,2.829880155687843,3.7662786973652485,1.359799394587237,0.5415719766774676,0.5901573802103988,0.3515049505158855,0.36940464509299675,-264.37758808224004,1,1
0,2.303216205876069,2.275959906771375,4.731619462721431,0.5514505218826726,1.0845744505633261,0.3679409090020738,0.32133157579077914,-138.07378905932228,2,1
0,0.860750796913813,1.6689683435086498,4.407631031386746,0.6578287131096676,0.7652633970443148,0.33383527577395383,0.3688764500895265,-15.790019822068537,3,1
0,2.2840490004313434,2.6614874422697223,2.2866490903142664,0.5867684374018749,0.5356100109587691,0.3319874483454304,0.3871227514487388,-166.79093068737254,4,1
0,3.3358377282437965,2.6765398670881035,6.5126139000643795,2.0197865284788405,2.8851898436982206,0.2473456654391032,0.21294074055705098,-179.46232013558088,5,1
0,3.1807151156465294,3.0892270726933666,4.66361147200528,0.7789443448546405,1.0948188869922753,0.3213855750909391,0.31258324860583125,-227.24510705586718,6,1
0,2.5665648564986054,3.205533788453562,5.18383858904429,0.7704629732144661,7.136219698966757,0.29724707011195245,0.11575806495091273,-187.04490935121243,1,3
0,1.5617355398372499,2.0035946244175014,2.457642293054633,0.5668949340221077,1.254233084497483,0.3184319511661364,0.3188588910497505,-29.88979020375875,2,3
0,1.488623039655679,1.7991025787155022,3.4982115652872516,0.6872519441583305,1.7107718336478852,0.30191667723534604,0.3054094134455356,18.001828441832508,3,3
0,1.8309166144308475,2.021459427405239,1.8617638358828308,0.769712212821891,2.1637854002135546,0.2683560341717147,0.10068768930686628,20.821533287023733,4,3
0,2.9879485897585893,2.1120098649105854,2.2941357173113093,0.8107132870983911,2.547388033329786,0.282130372987694,0.14100436436443747,-52.19975771418117,5,3
0,2.546611172444308,2.2016322732631166,1.4800682510001038,0.6253596814522884,1.3950676886511104,0.3290751458952163,0.2775840530037826,-64.47094219020843,6,3
0,3.77848599291198,3.593422627671706,4.439072980095515,0.502178938619184,1.3645165140330398,0.32115852441347303,0.2633750764755382,-307.980855773516,1,4
0,2.4895685061136748,3.0081602690104403,3.0570514020275565,0.5064839999065947,0.9484172430138362,0.3222988764793018,0.3239362478833694,-216.98573670968403,2,4
0,1.6185493376571949,1.9493976456956152,4.013961619624933,0.5002558011166158,1.1373226872038722,0.3275142948692561,0.29388392748996867,-90.76673035219594,3,4
0,3.61388419396814,3.052193545474439,3.754204931080485,0.5922118782979156,3.1919797282724307,0.33368199341819604,0.12218669100878904,-236.91337088168214,4,4
0,3.4879711909866913,2.3687630005418057,0.9861799340763983,0.5008088270978885,0.683895442670694,0.32525522004832463,0.3420314926784175,-203.44338901184682,5,4
0,3.1438996850111742,2.2730877727210523,4.50265049360253,0.5475049224262576,1.0290373219135112,0.31419595617424534,0.3072544561322802,-198.38994666001247,6,4
0,4.1454670089413606,3.691165176966668,2.7982310406036413,0.5428705031936527,3.5069838197778687,0.3176512001748715,0.1179973727386322,-293.7032464725711,1,5
0,3.7274970342754514,2.5803074805149184,7.250366454045678,0.9164734138002149,5.985498385769709,0.31521646926509517,0.21096048084923819,-226.56922235198175,2,5
0,2.2243595079309295,3.0946203267278727,6.048658172136709,0.7170617332151612,2.799775879211448,0.3235762988589479,0.313628620018906,-189.57503986982567,3,5
0,4.547733697329021,3.2549217142741127,4.928009874028094,1.4673751465270302,2.581131833096994,0.27462615351715697,0.2926763487105438,-269.52571864016517,4,5
0,4.379949962268999,2.5514719916470585,4.268805485094892,0.5131184175833359,1.3934202344448732,0.36989305511637116,0.3925646558585333,-227.42479494512327,5,5
0,3.3401199200666056,2.6126899596223114,5.328110137658947,0.955120475449629,1.661407273331578,0.28569098022344885,0.349302212522731,-196.87900873178586,6,5
0,2.3494620707888574,2.776082664049968,5.934061442770085,0.9614911271260804,1.2023181899360011,0.23097083134762536,0.3194240055360771,-184.5961684480418,1,6
0,1.1809532934913318,2.3338765846912075,6.538222580529152,1.964026409922286,1.2748010834005616,0.11199872815970874,0.37554979965190693,-77.84995684096842,2,6
0,0.38445404961449764,1.5203538745750462,5.965257829228383,1.627912905545851,0.9989260080268072,0.11303936138150394,0.397018767066989,27.634584851586663,3,6
0,0.9515929881424395,2.517764366136992,4.800302562827068,0.9360432362578881,6.07335726792194,0.18699362673824593,0.10069106444317422,-37.55960504344956,4,6
0,0.9661436238547217,2.355092168899631,4.024367511973826,0.6247199529721206,1.179484735660139,0.2644334907732295,0.34186964195099756,-44.97172002304525,5,6
0,0.6573979541934559,2.4401990006917593,5.203688505364093,1.5524654817584516,1.8386759492879121,0.10045233478205456,0.27298668259210396,-33.28804814632587,6,6
0,0.3165511195487932,1.8832165821877487,5.562989034069178,1.4031439591161,1.4363244683193708,0.10015378493310662,0.2106395685037853,-9.003339262797112,1,7
0,0.0,1.3738715069387626,5.136201909256449,0.657805180259472,1.005611501415105,0.2286738875700542,0.28037144301650113,9.802165408042882,2,7
